City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,wellington,-41.2866,174.7756,283.96,88,100,7.2,Wellington,1686077792
300,maraba,-5.3686,-49.1178,302.77,63,56,1.7,Marabá,1686078086
301,gizo,-8.103,156.8419,300.65,80,51,3.19,Gizo Government Station,1686078086
302,ust'-kut,56.7938,105.7672,279.16,68,85,0.63,Ust'-Kut,1686078087
303,pacific grove,36.6177,-121.9166,288.51,91,40,7.15,Pacific Grove,1686078087
304,codrington,-38.2667,141.9667,287.13,70,100,3.04,Codrington,1686078087
305,tobruk,32.0836,23.9764,294.77,75,65,6.92,Tobruk,1686078087
306,puerto baquerizo moreno,-0.9,-89.6,298.76,81,79,7.11,Puerto Baquerizo Moreno,1686078087
307,novodvinsk,64.4165,40.8122,277.18,82,100,2.18,Novodvinsk,1686078087
308,aldan,58.6031,125.3894,281.23,87,100,2.46,Aldan,1686078088
309,lanxi,29.2195,119.477,294.17,95,24,0.78,Lanxi,1686078088
310,kedougou,12.5579,-12.1743,309.89,23,87,2.14,Kédougou,1686078088
311,zhob,31.3411,69.4481,299.98,39,4,1.16,Zhob,1686078089
312,ulsteinvik,62.3432,5.8487,284.76,79,1,1.79,Ulsteinvik,1686078089
313,dolores,-36.3132,-57.6792,288.2,90,100,3.68,Dolores,1686078089
314,inverloch,-38.6333,145.7167,285.35,88,0,3.3,Inverloch,1686078089
315,iguape,-24.7081,-47.5553,295.04,75,9,2.13,Iguape,1686078089
316,soe,-9.8607,124.284,289.88,91,24,2.06,Soe,1686078090
317,bubaque,11.2833,-15.8333,300.81,72,100,7.3,Bubaque,1686078090
318,ocean shores,46.9737,-124.1563,299.51,55,0,2.06,Ocean Shores,1686078090
319,carloforte,39.145,8.3058,293.68,72,37,1.27,Carloforte,1686078090
320,murun-kuren,49.6342,100.1625,285.48,83,0,0.25,Mörön,1686078090
321,jiangyou,31.7667,104.7167,296.06,71,100,0.59,Jiangyou,1686078091
322,south hedland,-20.4089,118.5983,288.11,88,92,3.6,South Hedland,1686078091
323,san clemente del tuyu,-36.3569,-56.7235,289.81,90,100,5.09,San Clemente del Tuyú,1686078091
324,dubrovka,53.6907,33.5071,287.07,61,79,1.17,Dubrovka,1686078001
325,dawei,14.0833,98.2,298.87,93,100,3.44,Dawei,1686078091
326,colachel,8.1667,77.25,301.07,81,100,6.29,Colachel,1686078092
327,kem',64.9555,34.5793,278.45,69,50,2.61,Kem',1686078092
328,abaetetuba,-1.7181,-48.8825,300.94,83,55,2.05,Abaetetuba,1686078092
329,nogliki,51.8333,143.1667,279.2,77,98,1.49,Nogliki,1686078092
330,semporna,4.4818,118.6112,299.23,83,97,0.8,Semporna,1686078092
331,lihue,21.9789,-159.3672,298.91,77,3,3.88,Lihue,1686078092
